date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:04	78/78	---MC-	200	added ('OK')	text/plain	date:Mon,%2019%20Aug%202024%2015:21:03%20GMT	https://demedcon.sdumc.ac.in/robots.txt		(from )
20:51:05	64879/64879	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2015:21:04%20GMT	https://demedcon.sdumc.ac.in/	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/index.html	(from )
20:51:05	27215/27215	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2015:21:05%20GMT	https://demedcon.sdumc.ac.in/registration.html	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/registration.html	(from https://demedcon.sdumc.ac.in/)
20:51:06	19687/19687	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2015:21:06%20GMT	https://demedcon.sdumc.ac.in/Itinerry.html	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/Itinerry.html	(from https://demedcon.sdumc.ac.in/)
20:51:07	2152/2152	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Aug%202024%2015:21:07%20GMT	https://demedcon.sdumc.ac.in/resource-persons.html	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/resource-persons.html	(from https://demedcon.sdumc.ac.in/)
20:51:08	2152/2152	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Aug%202024%2015:21:08%20GMT	https://demedcon.sdumc.ac.in/gallery.html	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/gallery.html	(from https://demedcon.sdumc.ac.in/)
20:51:09	18094/18094	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2015:21:09%20GMT	https://demedcon.sdumc.ac.in/brochure.html	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/brochure.html	(from https://demedcon.sdumc.ac.in/)
20:51:11	89312/89312	---M--	200	added ('OK')	image/webp	date:Sat,%2010%20Aug%202024%2017:57:32%20GMT	https://demedcon.sdumc.ac.in/storage/university.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/university.webp	(from https://demedcon.sdumc.ac.in/)
20:51:11	5406/5406	---M--	200	added ('OK')	image/webp	date:Sun,%2011%20Aug%202024%2014:34:51%20GMT	https://demedcon.sdumc.ac.in/storage/Nagraja.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/Nagraja.webp	(from https://demedcon.sdumc.ac.in/)
20:51:12	8194/8194	---M--	200	added ('OK')	image/webp	date:Sun,%2011%20Aug%202024%2014:34:51%20GMT	https://demedcon.sdumc.ac.in/storage/Rajendra.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/Rajendra.webp	(from https://demedcon.sdumc.ac.in/)
20:51:13	8222/8222	---M--	200	added ('OK')	image/webp	date:Sun,%2011%20Aug%202024%2014:34:51%20GMT	https://demedcon.sdumc.ac.in/storage/Hunumantha.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/Hunumantha.webp	(from https://demedcon.sdumc.ac.in/)
20:51:14	23805/23805	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Aug%202024%2014:34:51%20GMT	https://demedcon.sdumc.ac.in/storage/DVLNPrasad.jpg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/DVLNPrasad.jpg	(from https://demedcon.sdumc.ac.in/)
20:51:16	74502/74502	---M--	200	added ('OK')	image/webp	date:Sun,%2011%20Aug%202024%2014:34:50%20GMT	https://demedcon.sdumc.ac.in/storage/vengamma.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/vengamma.webp	(from https://demedcon.sdumc.ac.in/)
20:51:17	8938/8938	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Aug%202024%2014:52:27%20GMT	https://demedcon.sdumc.ac.in/storage/prabhakar.svg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/prabhakar.svg	(from https://demedcon.sdumc.ac.in/)
20:51:18	8936/8936	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Aug%202024%2014:55:09%20GMT	https://demedcon.sdumc.ac.in/storage/vinutha.svg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/vinutha.svg	(from https://demedcon.sdumc.ac.in/)
20:51:19	8941/8941	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Aug%202024%2014:57:38%20GMT	https://demedcon.sdumc.ac.in/storage/krishnappa.svg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/krishnappa.svg	(from https://demedcon.sdumc.ac.in/)
20:51:20	8934/8934	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2013%20Aug%202024%2006:37:58%20GMT	https://demedcon.sdumc.ac.in/storage/sarala.svg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/sarala.svg	(from https://demedcon.sdumc.ac.in/)
20:51:21	8933/8933	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2013%20Aug%202024%2006:41:26%20GMT	https://demedcon.sdumc.ac.in/storage/kalyani.svg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/kalyani.svg	(from https://demedcon.sdumc.ac.in/)
20:51:22	8936/8936	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2013%20Aug%202024%2006:45:28%20GMT	https://demedcon.sdumc.ac.in/storage/pradeep.svg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/pradeep.svg	(from https://demedcon.sdumc.ac.in/)
20:51:23	43962/43962	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Aug%202024%2006:20:34%20GMT	https://demedcon.sdumc.ac.in/storage/vishwas.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/vishwas.webp	(from https://demedcon.sdumc.ac.in/)
20:51:26	39224/39224	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Aug%202024%2006:20:33%20GMT	https://demedcon.sdumc.ac.in/storage/naresh.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/naresh.webp	(from https://demedcon.sdumc.ac.in/)
20:51:26	2619787/2619787	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Aug%202024%2014:34:50%20GMT	https://demedcon.sdumc.ac.in/storage/munirayanna.jpg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/munirayanna.jpg	(from https://demedcon.sdumc.ac.in/)
20:51:26	622034/622034	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Aug%202024%2006:20:33%20GMT	https://demedcon.sdumc.ac.in/storage/ashwini.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/ashwini.webp	(from https://demedcon.sdumc.ac.in/)
20:51:27	105470/105470	---M--	200	added ('OK')	image/jpeg	date:Tue,%2013%20Aug%202024%2006:20:33%20GMT	https://demedcon.sdumc.ac.in/storage/likitha.jpeg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/likitha.jpg	(from https://demedcon.sdumc.ac.in/)
20:51:29	101493/101493	---M--	200	added ('OK')	image/jpeg	date:Tue,%2013%20Aug%202024%2006:20:33%20GMT	https://demedcon.sdumc.ac.in/storage/gaddam.jpeg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/gaddam.jpg	(from https://demedcon.sdumc.ac.in/)
20:51:29	40598/40598	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Aug%202024%2006:20:33%20GMT	https://demedcon.sdumc.ac.in/storage/faizur.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/faizur.webp	(from https://demedcon.sdumc.ac.in/)
20:51:30	516494/516494	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Aug%202024%2006:20:33%20GMT	https://demedcon.sdumc.ac.in/storage/deepak.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/deepak.webp	(from https://demedcon.sdumc.ac.in/)
20:51:30	38838/38838	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Aug%202024%2006:20:33%20GMT	https://demedcon.sdumc.ac.in/storage/pooja.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/pooja.webp	(from https://demedcon.sdumc.ac.in/)
20:51:31	18866/18866	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Aug%202024%2006:20:33%20GMT	https://demedcon.sdumc.ac.in/storage/gagan.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/gagan.webp	(from https://demedcon.sdumc.ac.in/)
20:51:33	268252/268252	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Aug%202024%2017:59:16%20GMT	https://demedcon.sdumc.ac.in/storage/kolar_heritage.jpg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/kolar_heritage.jpg	(from https://demedcon.sdumc.ac.in/)
20:51:35	337600/337600	---M--	200	added ('OK')	image/webp	date:Sat,%2010%20Aug%202024%2018:38:18%20GMT	https://demedcon.sdumc.ac.in/storage/kurudumalemahaganapathy.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/kurudumalemahaganapathy.webp	(from https://demedcon.sdumc.ac.in/)
20:51:35	416892/416892	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Aug%202024%2018:38:18%20GMT	https://demedcon.sdumc.ac.in/storage/Avani.jpg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/Avani.jpg	(from https://demedcon.sdumc.ac.in/)
20:51:36	40242/40242	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Aug%202024%2018:38:18%20GMT	https://demedcon.sdumc.ac.in/storage/AntargangeHills.jpg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/AntargangeHills.jpg	(from https://demedcon.sdumc.ac.in/)
20:51:37	118342/118342	---M--	200	added ('OK')	image/webp	date:Sat,%2010%20Aug%202024%2018:38:18%20GMT	https://demedcon.sdumc.ac.in/storage/kgf.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/kgf.webp	(from https://demedcon.sdumc.ac.in/)
20:51:38	64198/64198	---M--	200	added ('OK')	image/webp	date:Sat,%2010%20Aug%202024%2018:38:18%20GMT	https://demedcon.sdumc.ac.in/storage/kgf_club.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/kgf_club.webp	(from https://demedcon.sdumc.ac.in/)
20:51:39	204350/204350	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Aug%202024%2018:38:17%20GMT	https://demedcon.sdumc.ac.in/storage/KolarammaKere.jpg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/KolarammaKere.jpg	(from https://demedcon.sdumc.ac.in/)
20:51:41	167519/167519	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Aug%202024%2018:38:17%20GMT	https://demedcon.sdumc.ac.in/storage/Kotilinga.jpg	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/Kotilinga.jpg	(from https://demedcon.sdumc.ac.in/)
20:51:41	184673/184673	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Aug%202024%2018:05:26%20GMT	https://demedcon.sdumc.ac.in/storage/payment_qr.png	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/payment_qr.png	(from https://demedcon.sdumc.ac.in/registration.html)
20:51:42	1359/1359	---MC-	200	added ('OK')	image/png	date:Mon,%2019%20Aug%202024%2015:21:41%20GMT	https://demedcon.sdumc.ac.in/Captcha/init?id=1724080865	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/Captcha/init20bb.png	(from https://demedcon.sdumc.ac.in/registration.html)
20:51:43	69864/69864	---M--	200	added ('OK')	image/webp	date:Sun,%2011%20Aug%202024%2014:50:55%20GMT	https://demedcon.sdumc.ac.in/storage/prabhakar.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/prabhakar.webp	(from https://demedcon.sdumc.ac.in/storage/prabhakar.svg)
20:51:43	62050/62050	---M--	200	added ('OK')	image/webp	date:Sun,%2011%20Aug%202024%2014:50:56%20GMT	https://demedcon.sdumc.ac.in/storage/vinutha.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/vinutha.webp	(from https://demedcon.sdumc.ac.in/storage/vinutha.svg)
20:51:44	56998/56998	---M--	200	added ('OK')	image/webp	date:Sun,%2011%20Aug%202024%2014:50:56%20GMT	https://demedcon.sdumc.ac.in/storage/krishnappa.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/krishnappa.webp	(from https://demedcon.sdumc.ac.in/storage/krishnappa.svg)
20:51:47	177788/177788	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Aug%202024%2006:20:34%20GMT	https://demedcon.sdumc.ac.in/storage/sarala.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/sarala.webp	(from https://demedcon.sdumc.ac.in/storage/sarala.svg)
20:51:47	187932/187932	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Aug%202024%2006:20:33%20GMT	https://demedcon.sdumc.ac.in/storage/kalyani.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/kalyani.webp	(from https://demedcon.sdumc.ac.in/storage/kalyani.svg)
20:51:48	169632/169632	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Aug%202024%2006:20:34%20GMT	https://demedcon.sdumc.ac.in/storage/pradeepts.webp	/Users/suguresh/Desktop/demedcon/demedcon.sdumc.ac.in/storage/pradeepts.webp	(from https://demedcon.sdumc.ac.in/storage/pradeep.svg)
